"","cellids","conf1","conf2","conf3"
"316","D372","3","1","2"
"317","D372","3","1","2"
"318","D367","3","1","2"
"319","D372","unassigned","unassigned","2"
"320","D353","3","1","2"
"321","D363","3","unassigned","2"
"322","D372","unassigned","unassigned","2"
"323","D322","unassigned","unassigned","2"
"324","D372","unassigned","unassigned","2"
"325","D372","unassigned","unassigned","2"
"326","D344","3","1","2"
"327","D372","unassigned","unassigned","2"
"328","D363","3","1","2"
"329","D367","3","unassigned","2"
"330","D344","unassigned","unassigned","2"
"331","D344","unassigned","unassigned","2"
"332","D339","unassigned","unassigned","2"
"333","D372","unassigned","unassigned","2"
"334","D344","3","1","2"
"335","D326","3","1","2"
"336","D353","unassigned","1","2"
"337","D339","3","1","2"
"338","D337","3","1","2"
"339","D372","unassigned","unassigned","2"
"340","D344","3","1","2"
"341","D354","3","1","2"
"342","D353","unassigned","unassigned","2"
"343","D322","unassigned","1","2"
"344","D363","unassigned","unassigned","2"
"345","D353","unassigned","unassigned","2"
"346","D367","unassigned","unassigned","2"
"347","D353","unassigned","unassigned","2"
"348","D337","3","1","2"
"349","D372","3","1","2"
"350","D372","unassigned","unassigned","2"
"351","D354","3","1","2"
"352","D367","unassigned","unassigned","2"
"353","D353","3","1","2"
"354","D372","3","1","2"
"355","D363","unassigned","unassigned","2"
"356","D322","unassigned","unassigned","2"
"357","D322","unassigned","unassigned","2"
"358","D322","unassigned","1","2"
"359","D353","unassigned","unassigned","2"
"360","D367","unassigned","unassigned","2"
"361","D353","unassigned","unassigned","2"
"362","D353","3","1","2"
"363","D344","unassigned","unassigned","2"
"364","D344","unassigned","unassigned","2"
"365","D353","unassigned","1","2"
"366","D322","unassigned","unassigned","2"
"367","D363","3","1","2"
"368","D367","unassigned","unassigned","2"
"369","D354","3","1","2"
"370","D354","3","1","2"
"371","D344","unassigned","unassigned","2"
"372","D344","unassigned","1","2"
"373","D354","unassigned","1","2"
"374","D337","unassigned","unassigned","2"
"375","D353","unassigned","unassigned","2"
"376","D367","unassigned","unassigned","2"
"377","D353","unassigned","unassigned","2"
"378","D372","unassigned","unassigned","2"
"379","D354","3","1","2"
"380","D353","3","1","2"
"381","D372","3","1","2"
"382","D337","3","1","2"
"383","D344","unassigned","unassigned","2"
